d/f,shape,aspect ratio,age,w/b,Dmax,ratio of aggregate to binder,CA/FA,Cement strength grade,fly ash,Silicon,BFS,fc
150,1,1,90,0.3,16,4.09,1.44,3,0,0,60,92.5
100,2,4,3,0.37,25,3.77,1.35,3,0,0,0,36.1
150,1,1,3,0.5,20,4.57,1.5,3,0,0,70,6.05263
150,1,1,90,0.4,16,5.47,1.44,3,0,0,60,74
100,3,2,56,0.55,19,4.13,0.85,1,45,0,0,21.5
150,1,1,28,0.4,16,5.5,1.44,3,0,0,40,67.2
150,1,1,180,1.02,19,9,1.52,3,0,0,0,19.8
100,2,2,56,0.4,20,4.55,1.75,1,20,5,0,61.7
50,1,1,28,0.14,1.25,1.63,6,3,0,18.5,0,101.475
100,1,1,120,0.46,25,4.74,1.43,3,29,0,0,43
150,1,1,360,0.5,16,4.3,1.44,3,0,0,40,65.2
100,1,1,28,0.52,20,4.88,1.78,3,0,0,0,46.11
250,1,1,215,0.45,20,4.05,1.35,3,16,0,0,56.97
150,1,1,28,0.5,16,3.56,1.44,3,0,0,60,39.5
100,1,1,28,0.58,20,7.15,1.5,3,0,0,0,23.66
100,1,1,7,0.77,20,10.47,0.91,6,0,0,0,14.7292
100,2,2,56,0.4,20,3.5,1.63,1,0,0,0,58.6
100,3,2,356,0.27,19,2.62,0.14,4,20,0,0,85.2
100,1,1,3,0.28,20,3.16,4.12,6,0,0,0,59.6207
100,2,4,90,0.27,25,2.51,1.59,3,0,0,30,83.9
100,1,1,28,0.27,20,3.69,1.91,3,6,7,19,90.8
150,1,1,3,0.4,16,3.89,1.44,3,0,0,0,53
100,3,2,3,0.5,19,4.06,0.74,1,0,0,0,26.9
100,3,2,3,0.4,19,4.05,0.21,4,30,0,0,24.2
150,1,1,90,0.4,16,4.56,1.44,3,0,0,40,77.9
100,2,2,7,0.38,19,4.11,1.5,1,55,0,0,18
100,2,2,28,0.18,16,2.92,1.22,1,0,9,0,75.8689
150,1,1,7,0.3,16,4.07,1.44,3,0,0,80,50.2
100,2,2,7,0.43,19,4.16,1.5,1,0,0,0,39.5
150,1,1,28,0.52,40,10,3,3,0,0,0,30.71
100,1,1,28,0.54,20,5.52,1.86,3,0,0,0,35.7
100,1,1,7,0.4,12.5,4.12,1.35,5,25,0,0,35.65
150,2,2,28,0.65,25,4.82,1.86,2,0,0,0,15.48
150,1,1,360,0.3,16,5.79,1.44,3,0,0,20,86.9
100,1,1,180,0.3,10,5.95,1.55,1,15,0,0,106.3
150,1,1,28,0.23,20,3.35,1.91,3,10,7,18,85.5
100,2,2,56,0.4,20,4.48,1.82,1,45,0,0,42.1
150,1,1,7,0.59,20,5.9,1.5,3,0,0,0,33
100,1,1,28,0.27,25,2.83,1.83,5,0,10,40,91.7978
100,1,1,7,0.5,20,4.11,2.05,1,40,5,0,16.8
100,1,1,3,0.24,10,3.63,1.36,1,25,0,0,62.3
150,1,1,119,0.55,19,3.49,1.52,3,0,0,61,33.7
100,3,2,3,0.55,19,4.13,0.85,1,45,0,0,11.4
100,3,2,28,0.27,19,2.62,0.14,4,20,0,0,65
100,3,2,28,0.52,25,5.01,1.72,1,0,0,0,34.7
100,1,1,91,0.28,20,3.16,2.22,6,0,0,0,86.5172
150,1,1,28,0.4,16,3.84,1.44,3,0,0,40,66.4
150,1,1,63,0.89,19,7.55,1.52,3,0,0,0,23
100,1,1,90,0.32,31.5,3.49,1.63,3,35,0,0,67.05
150,1,1,28,1.01,19,8.86,1.52,3,0,0,18,18.1
100,3,2,56,0.5,19,4.06,0.74,1,0,0,0,44.9
200,1,1,28,0.67,40,13,3,3,0,0,40,18.19
150,1,1,28,0.3,16,5.8,1.44,3,0,0,0,75.8
150,1,1,90,0.5,16,5.27,1.44,3,0,0,0,61.5
100,1,1,180,0.5,20,4.07,2.11,1,55,0,0,48.3
100,2,4,7,0.32,25,3.12,1.46,3,0,0,50,54.9
150,1,1,180,0.64,19,4.73,1.52,3,0,0,42,47.9
100,1,1,1,0.77,20,10.47,1.34,6,0,0,0,7.25048
150,3,2,28,0.77,25,8.46,1.27,4,0,0,0,15.02
150,3,2,28,0.71,25,7.72,1.27,4,0,0,0,17.19
100,1,1,28,0.23,20,3.35,1.91,3,10,7,18,95.1
150,1,1,180,0.52,19,3.2,1.52,3,0,0,56,50.7
250,1,1,28,0.62,80,12,3,3,0,0,0,21.21
150,1,1,90,0.3,16,5.79,1.44,3,0,0,20,86.8
50,3,2,28,0.67,13,6.75,1.07,3,0,0,0,28.2
100,2,2,28,0.47,25,4.27,1.27,3,0,0,0,38
100,1,1,28,0.23,10,2.48,1.44,1,45,0,0,89.4
100,1,1,3,0.27,25,2.83,1.83,5,0,10,20,80.6383
100,1,1,7,0.5,20,4.17,1.97,1,25,0,0,26.2
100,1,1,56,0.24,25,2.83,1.83,5,30,10,0,103.018
100,1,1,90,0.4,20,3.5,1.63,1,0,0,0,70.5
100,2,4,180,0.32,25,3.15,1.46,3,0,0,0,73.8
150,3,2,28,0.47,25,4.27,1.27,4,0,0,0,36.56
100,1,1,90,0.5,20,3.4,1.86,1,0,0,0,58.1
250,1,1,28,0.51,40,10,3,3,0,0,60,26.91
100,3,2,356,0.32,19,3.1,0.16,4,30,0,0,72.8
200,1,1,28,0.52,80,10,3,3,0,0,0,27.97
150,1,1,119,0.41,19,1.67,1.52,3,0,0,61,55.2
100,2,2,3,0.5,14,4.28,1.08,3,0,0,0,22
200,2,2,28,0.4,31.5,3.79,2.34,3,0,0,0,36.5
100,3,2,28,0.42,19,3.97,1.01,1,0,0,0,56.2
50,3,2,28,0.35,13,3.41,1.26,3,0,0,0,72.85
100,1,1,28,0.29,31.5,2.9,1.88,3,43,0,0,54.67
100,3,2,180,0.4,19,4.05,0.21,4,30,0,0,57.6
100,3,2,90,0.35,19,3.42,0.18,4,30,0,0,59.5
200,2,8,365,0.36,20,3.33,0.54,4,0,0,0,33.16
100,1,1,3,0.24,25,2.83,1.83,5,0,10,40,73.4831
150,1,1,90,0.4,16,5.46,1.44,3,0,0,80,58.9
100,2,2,28,0.4,14,2.96,0.98,3,0,0,0,42
150,1,1,63,0.6,19,4.11,1.52,3,0,0,56,32.9
100,1,1,3,0.3,20,3.6,1.94,3,0,40,0,61.12
100,2,2,28,0.4,20,4.55,1.75,1,20,5,0,56.2
150,1,1,180,0.86,19,7.2,1.52,3,0,0,18,28.9
150,1,1,3,0.4,16,5.5,1.44,3,0,0,40,31.9
150,1,1,119,0.44,19,2.1,1.52,3,0,0,61,49
100,2,4,180,0.27,25,2.53,1.59,3,0,0,0,85.3
100,1,1,28,0.6,31.5,6.04,1.22,3,0,0,0,37.81
100,1,1,28,0.5,20,4.24,1.87,1,0,5,0,57.3
100,3,2,28,0.4,19,4.18,0.22,4,0,0,0,49.7
150,2,1.33,28,0.23,16,3.17,1.25,1,0,0,0,58.03298357
100,2,2,28,0.3,10,5.95,1.55,1,15,0,0,77.9
100,3,2,3,0.5,19,4,0.77,1,30,0,0,21.2
100,1,1,180,0.4,20,4.48,1.82,1,45,0,0,63.7
150,1,1,14,0.59,20,5.9,1.5,3,0,0,0,35.8
100,1,1,28,0.3,31.5,4.26,1.44,3,24,0,0,56.62
100,1,1,3,0.4,20,4.45,1.86,1,55,0,0,13.6
100,2,4,28,0.37,25,3.75,1.35,3,0,0,30,56.3
150,2,3.7,7,0.5,40,8.48,1.94,3,35,0,0,11.19
100,1,1,14,0.3,20,3.6,1.94,3,0,40,0,67.76
150,1,1,7,0.64,19,4.73,1.52,3,0,0,42,23.9
100,1,1,90,0.3,10,3.61,1.51,1,0,5,0,93.6
100,1,1,56,0.3,10,3.48,1.66,1,40,5,0,80
150,1,1,3,0.59,20,5.9,1.5,3,0,0,0,25.8
100,3,2,7,0.6,19,4.62,0.85,1,30,0,0,16.7
100,3,2,28,0.42,25,3.72,1.27,4,0,0,0,43.49
100,1,1,3,0.21,25,2.83,1.83,5,0,10,30,76.7867
150,1,1,7,0.47,20,4.52,1.63,3,0,0,0,45.6
100,1,1,28,0.5,20,4.17,1.96,1,20,5,0,52.9
200,1,1,28,0.58,20,7.15,1.5,3,0,0,0,23.18
150,1,1,360,0.5,16,5.26,1.44,3,0,0,20,69.8
100,3,2,14,0.6,19,4.53,0.9,1,75,0,0,3.8
150,2,2,28,0.52,20,4.88,1.78,3,0,0,0,33.1
150,1,1,28,0.6,25,4.95,1.86,2,0,0,0,27.58
100,3,2,90,0.6,19,5.31,0.28,4,0,0,0,38.6
150,1,1,119,0.47,19,2.56,1.52,3,0,0,50,59.9
150,2,2,28,0.42,25,3.72,1.26,3,0,0,0,42.93
150,1,1,7,0.5,16,4.3,1.44,3,0,0,40,28.6
150,1,1,119,0.57,19,3.87,1.52,3,0,0,50,45.4
150,1,1,90,0.5,16,5.19,1.44,3,0,0,80,38.1
100,1,1,28,0.28,20,3.16,4.12,6,0,0,0,65.8276
200,2,2,28,0.35,13,3.41,1.26,3,0,0,0,54.8
200,1,1,28,0.67,80,13,3,3,0,0,40,17.15
100,1,1,56,0.5,20,4.24,1.87,1,0,5,0,59.6
100,1,1,56,0.4,20,4.48,1.82,1,40,5,0,55.3
100,1,1,28,0.27,25,2.83,1.83,5,0,10,20,92.9787
100,3,2,1,0.5,19,3.88,0.8,1,75,0,0,1.1
100,1,1,90,0.46,25,4.74,1.43,5,21,0,8,46.9
150,2,2,28,0.28,13,2.77,1.36,3,0,11,0,66.37
100,1,1,28,0.71,40,14,3,3,0,0,0,19.48
150,1,1,365,1.19,19,11.05,1.52,3,0,0,0,14.5
100,1,1,28,0.77,20,10.47,2.02,6,0,0,0,20.2173
150,1,1,14,0.87,19,7.36,1.52,3,0,0,30,17.4
100,3,2,7,0.55,19,4.23,0.82,1,15,0,0,27.9
100,1,1,3,0.4,20,4.48,1.82,1,45,0,0,14.5
100,2,4,28,0.27,25,2.5,1.59,3,0,0,50,76.2
100,3,2,90,0.27,19,2.58,0.14,4,30,0,0,60.4
100,1,1,28,0.4,12.5,4.21,1.28,5,0,0,50,55.55
300,1,1,28,0.59,80,12,3,3,0,0,60,18.89
200,1,1,28,0.48,20,4.28,1.63,3,0,0,0,31.18
200,1,1,28,0.59,40,12,3,3,0,0,30,24.38
150,1,1,28,0.67,40,13,3,3,0,0,50,18.58
150,1,1,90,0.3,16,5.76,1.44,3,0,0,40,87.8
100,1,1,28,0.27,25,2.83,1.83,5,40,10,0,91.0112
150,1,1,7,0.5,16,4.26,1.44,3,0,0,80,18.7
100,3,2,3,0.27,19,2.71,0.14,4,0,0,0,56.5
100,1,1,7,0.24,25,2.83,1.83,5,0,10,10,82.2931
100,2,3,90,0.3,20,3.6,1.94,3,0,0,0,49.3
100,2,2,56,0.3,10,3.61,1.51,1,0,5,0,92.3
150,1,1,180,0.6,19,4.15,1.52,3,0,0,0,46.3
150,1,1,365,0.66,19,4.91,1.52,3,0,0,30,46.9
100,3,2,180,0.55,19,4.81,0.25,4,30,0,0,47
100,1,1,7,0.4,20,3.5,1.63,1,0,0,0,48.4
200,1,1,28,0.55,20,6.26,1.7,2,0,0,0,23.93
250,1,1,28,0.67,40,13,3,3,0,0,50,17.05
100,1,1,7,0.39,20,4.73,1.12,6,0,0,0,53.0778
150,1,1,180,0.75,19,5.93,1.52,3,0,0,30,39.1
100,3,2,7,0.5,19,3.92,0.8,1,60,0,0,10.1
100,1,1,90,0.23,31.5,2.9,1.88,3,43,0,0,53.95
300,1,1,28,0.59,80,12,3,3,0,0,50,19.29
100,1,1,28,0.24,10,2.13,1.32,1,0,0,0,97.4
150,1,1,3,0.4,16,5.51,1.44,3,0,0,20,39
150,1,1,365,0.68,19,5.08,1.52,3,0,0,18,41.1
150,2,2,28,0.18,16,2.92,1.22,1,0,9,0,71.8803
100,3,2,3,0.35,19,3.56,0.19,4,0,0,0,45
100,3,2,90,0.27,19,2.62,0.14,4,20,0,0,72.8
100,1,1,7,0.5,20,3.4,1.86,1,0,0,0,36.9
100,2,2,28,0.3,10,3.48,1.66,1,40,5,0,71.6
100,2,2,56,0.3,10,5.95,1.55,1,15,0,0,89.5
100,3,2,21,0.6,19,4.53,0.9,1,75,0,0,4.2
150,1,1,7,0.5,20,4.57,1.5,3,10,0,40,18.4748
350,1,1,216,0.45,20,4.05,1.35,3,16,0,0,44.18
150,1,1,360,0.5,16,5.21,1.44,3,0,0,60,65.9
250,2,2,215,0.45,20,4.05,1.35,3,16,0,0,36.09
100,2,2,1,0.39,19,5.16,1.5,1,55,0,0,8.8
100,1,1,28,0.21,25,2.83,1.83,5,0,10,30,96.7249
100,1,1,7,0.3,10,3.54,1.58,1,20,5,0,65.6
100,2,2,28,0.6,20,5.32,1.04,3,0,0,0,31.9
100,3,2,28,0.55,19,4.28,0.81,1,0,0,0,37
150,1,1,14,0.44,19,2.1,1.52,3,0,0,61,29.2
150,1,1,28,0.5,20,4.57,1.5,3,0,0,40,45
150,1,1,7,0.4,16,5.54,1.44,3,0,0,0,54.8
100,1,1,7,0.39,20,4.73,2.35,6,0,0,0,44.4
100,2,2,3,0.38,19,4.17,1.5,1,55,0,0,17.1
100,3,2,28,0.55,19,4.95,0.26,4,10,0,0,38.3
100,1,1,28,0.5,20,4.82,1.5,3,0,0,0,36.5
100,1,1,90,0.29,31.5,2.9,1.88,3,43,0,0,68.54
100,3,2,14,0.5,19,3.97,0.81,1,45,0,0,19.2
100,3,2,28,0.31,19,2.77,1.01,1,0,0,0,67.6
150,1,1,28,0.47,19,2.56,1.52,3,0,0,50,48.4
100,1,1,7,0.27,25,2.83,1.83,5,40,10,0,68.2022
100,1,1,7,0.46,20,5.84,2.57,6,0,0,0,33.4731
150,1,1,3,0.5,16,4.26,1.44,3,0,0,80,8.4
100,3,2,56,0.6,19,4.75,0.81,1,0,0,0,34.5
100,2,4,1,0.42,25,4.37,1.24,3,0,0,30,5.1
100,1,1,28,0.24,25,2.83,1.83,5,20,10,0,96.8085
100,1,1,90,0.5,20,4.24,1.87,1,0,5,0,67.3
100,3,2,3,0.35,19,3.42,0.18,4,30,0,0,27
150,1,1,14,0.47,20,4.52,1.63,3,0,0,0,51.2
150,1,1,360,0.3,16,5.74,1.44,3,0,0,60,85.7
100,1,1,7,0.21,25,2.83,1.83,5,0,10,30,83.4604
100,3,2,14,0.55,19,4.21,0.82,1,30,0,0,22.8
100,2,2,28,0.34,19,4.95,1.5,1,55,0,0,55.8
150,1,1,360,0.4,16,4.55,1.44,3,0,0,60,82.8
150,2,2,90,0.3,20,3.6,1.94,3,0,0,0,46.8
100,1,1,3,0.27,25,2.83,1.83,5,0,10,30,75.9401
150,1,1,180,0.41,19,1.67,1.52,3,0,0,61,62.4
100,2,2,56,0.3,10,3.47,1.67,1,45,0,0,77.3
100,1,1,28,0.38,16,3.17,1.25,1,0,0,0,47.6275
150,1,1,180,0.8,19,6.44,1.52,3,0,0,0,31.2
150,1,1,28,0.3,20,3.08,1.5,3,10,0,21,60.6
100,2,2,28,0.7,14,7.58,0.72,3,0,0,0,14.93
100,1,1,180,0.5,20,3.36,1.92,1,15,0,0,64.8
100,2,2,28,0.55,25,5.66,1.27,3,0,0,0,29.47
100,1,1,7,0.3,20,3.6,1.94,3,0,0,0,51.56
200,1,1,28,0.51,80,10,3,3,0,0,50,27.26
300,1,1,28,0.71,40,14,3,3,0,0,0,16.46
150,1,1,14,0.66,19,4.9,1.52,3,0,0,50,20.6
100,1,1,28,0.32,25,2.91,1.86,3,0,0,0,42.98
100,2,4,28,0.37,25,3.77,1.35,3,0,0,0,50.5
100,1,1,90,0.34,31.5,2.9,1.88,3,43,0,0,65.04
150,1,1,28,0.68,19,5.08,1.52,3,0,0,18,33.7
150,1,1,14,0.64,19,4.73,1.52,3,0,0,42,26.1
100,2,2,56,0.38,19,4.11,1.5,1,55,0,0,37.7
150,1,1,28,1.57,16,10.19,1.33,3,0,0,0,25.03
150,1,1,3,0.4,16,3.84,1.44,3,0,0,40,35.9
150,2,2,28,0.55,25,5.66,1.27,3,0,0,0,27.33
150,1,1,28,0.38,16,3.17,1.25,1,0,0,0,51.1874
100,1,1,90,0.46,25,4.74,1.43,3,29,0,0,42.7
150,1,1,360,0.4,16,4.61,1.44,3,0,0,0,70.6
100,2,4,1,0.37,25,3.75,1.35,3,0,0,30,10.3
150,1,1,7,0.39,20,4.24,1.57,3,7,0,0,53.6
150,1,1,7,0.47,19,2.56,1.52,3,0,0,50,34.4
100,1,1,7,0.3,10,6.03,1.5,1,0,0,0,75.5
100,1,1,3,0.27,25,2.83,1.83,5,20,10,0,72.1277
100,3,2,3,0.32,19,3.1,0.16,4,30,0,0,28.8
150,1,1,365,0.89,19,7.55,1.52,3,0,0,0,25.6
150,1,1,90,0.5,16,5.23,1.44,3,0,0,40,65.9
100,1,1,28,0.54,20,4.24,1.5,3,0,0,0,33.6
150,1,1,365,0.44,19,2.1,1.52,3,0,0,61,55.2
100,1,1,360,0.46,25,4.74,1.43,5,29,0,0,55.6
150,3,2,28,0.35,13,3.41,1.26,3,0,0,0,65.93
100,3,2,28,0.5,19,3.97,0.81,1,45,0,0,23.8
150,1,1,28,0.41,19,1.67,1.52,3,0,0,61,42.7
150,1,1,360,0.3,16,4.79,1.44,3,0,0,80,82.9
100,1,1,3,0.4,12.5,4.21,1.28,5,0,0,50,22.03
100,2,3,90,0.3,20,3.6,1.94,3,0,30,0,55.9
150,1,1,14,0.59,19,4.15,1.52,3,0,0,30,33.1
150,1,1,90,0.4,16,4.61,1.44,3,0,0,0,67.9
100,1,1,7,0.5,20,4.24,1.87,1,0,5,0,39.2
100,3,2,1,0.5,19,4,0.77,1,30,0,0,11.7
100,1,1,28,1.57,16,10.19,1.33,3,0,0,0,27.33
150,1,1,28,0.59,40,12,3,3,0,0,30,25.35
100,2,2,3,0.34,19,5.22,1.5,1,55,0,0,23.4
150,1,1,28,0.65,25,4.82,1.86,2,0,0,0,21.9
100,2,2,28,0.5,14,4.28,1.64,3,0,0,0,25.5
150,1,1,111,0.45,20,4.05,1.35,3,16,0,0,57.24
150,1,1,14,0.48,19,2.69,1.52,3,0,0,61,24.3
100,3,2,90,0.35,19,3.51,0.18,4,10,0,0,64.3
100,2,2,56,0.4,20,3.46,1.68,1,15,0,0,49.4
150,1,1,14,0.75,19,5.93,1.52,3,0,0,30,23.1
150,1,1,28,0.3,20,3.24,1.62,6,30,0,0,69.1
150,1,1,180,0.74,19,5.93,1.52,3,0,0,42,38.4
150,1,1,119,0.66,19,4.92,1.52,3,0,0,0,36.5
150,1,1,3,0.3,16,4.09,1.44,3,0,0,60,36.8
200,1,1,28,0.59,80,12,3,3,0,0,30,23.38
150,1,1,7,0.75,19,5.93,1.52,3,0,0,30,21.2
200,1,1,28,0.67,40,13,3,3,0,0,60,17.92
150,1,1,7,0.4,16,4.61,1.44,3,0,0,0,53.7
150,1,1,7,0.51,19,3.24,1.52,3,0,0,42,33.8
100,3,2,90,0.32,19,3.18,0.17,4,10,0,0,65.3
100,3,2,14,0.55,19,4.13,0.85,1,75,0,0,4.3
100,3,2,21,0.5,19,3.97,0.81,1,45,0,0,23.7
150,1,1,90,0.4,16,4.59,1.44,3,0,0,20,72.4
150,1,1,119,0.51,19,3.13,1.52,3,0,0,50,53.5
100,3,2,56,0.6,19,4.62,0.85,1,30,0,0,24.5
300,1,1,28,0.59,80,12,3,3,0,0,30,20.19
150,1,1,360,0.5,16,5.27,1.44,3,0,0,0,66
100,3,2,28,0.37,25,3.18,1.27,4,0,0,0,46.64
100,1,1,3,0.4,20,4.61,1.68,1,0,5,0,37.3
150,1,1,28,0.3,16,4.07,1.44,3,0,0,80,66.3
100,1,1,28,0.77,20,10.47,1.34,6,0,0,0,18.4329
250,1,1,28,0.59,40,12,3,3,0,0,50,22.32
100,1,1,56,0.3,10,3.61,1.51,1,0,5,0,93.1
150,1,1,28,0.4,16,5.54,1.44,3,0,0,0,63.9
100,1,1,28,0.37,20,4.23,1.53,3,0,0,0,47.23
150,1,1,63,0.47,19,2.56,1.52,3,0,0,50,55.3
100,1,1,270,0.46,25,4.74,1.43,5,21,0,8,57
100,2,2,28,0.4,20,4.48,1.82,1,40,5,0,40.5
100,1,1,56,0.27,25,2.83,1.83,5,0,10,20,103.404
100,3,2,356,0.35,19,3.51,0.18,4,10,0,0,74.8
100,3,2,21,0.55,19,4.23,0.82,1,15,0,0,30.2
100,3,2,1,0.55,19,4.13,0.85,1,45,0,0,5.7
100,1,1,56,0.27,25,2.83,1.83,5,0,10,40,97.191
100,1,1,28,0.27,25,2.83,1.83,5,10,10,0,94.0189
100,3,2,356,0.6,19,5.26,0.28,4,10,0,0,47.6
100,2,4,1,0.37,25,3.77,1.35,3,0,0,0,19.6
100,2,4,28,0.32,25,3.13,1.46,3,0,0,30,64.3
150,2,2,28,0.77,25,8.46,1.27,3,0,0,0,15.07
100,1,1,56,0.24,25,2.83,1.83,5,10,10,0,105.366
100,1,1,7,0.3,20,3.6,1.94,3,0,50,0,69.48
150,1,1,360,0.3,16,4.84,1.44,3,0,0,40,92.4
100,2,4,7,0.32,25,3.15,1.46,3,0,0,0,55
150,1,1,360,0.3,16,4.13,1.44,3,0,0,20,95.9
150,1,1,28,0.3,16,4.85,1.44,3,0,0,20,81.4
100,2,2,28,0.4,20,3.5,1.63,1,0,0,0,55.8
100,1,1,7,0.27,25,2.83,1.83,5,30,10,0,72.3492
150,1,1,7,0.88,19,7.37,1.52,3,0,0,0,15.3
150,1,1,28,0.37,20,4.23,1.53,3,0,0,0,44.21
150,1,1,90,0.3,16,4.11,1.44,3,0,0,40,91.4
150,1,1,28,0.41,20,4.15,1.5,3,13,0,13,57.573
200,1,1,28,0.58,20,7.15,1.5,3,0,0,0,21.96
100,1,1,180,0.4,20,4.48,1.82,1,40,5,0,68.4
100,3,2,7,0.4,19,4.18,0.22,4,0,0,0,43.6
100,1,1,3,0.3,10,3.47,1.67,1,45,0,0,34.1
100,2,4,90,0.32,25,3.12,1.46,3,0,0,50,74.9
75,1,1,28,0.38,16,3.17,1.25,1,0,0,0,42.7118
150,1,1,3,0.5,16,5.23,1.44,3,0,0,40,24.3
100,3,2,3,0.5,19,3.97,0.81,1,45,0,0,14
150,1,1,63,0.41,19,1.67,1.52,3,0,0,61,49.6
100,1,1,7,0.34,31.5,2.9,1.88,3,43,0,0,39.89
100,1,1,28,0.44,31.5,3.83,2.11,1,90,0,0,4.468
150,1,1,3,0.4,16,4.56,1.44,3,0,0,40,33.4
100,1,1,56,0.4,20,4.61,1.68,1,0,5,0,72.1
100,3,2,21,0.5,19,4.06,0.74,1,0,0,0,41.4
100,2,2,28,0.5,20,4.1,2.06,1,45,0,0,30.4
150,1,1,28,0.4,16,5.51,1.44,3,0,0,20,65.8
100,1,1,7,0.5,12.5,4.53,1.05,5,0,0,0,30.67
100,1,1,56,0.4,20,4.45,1.86,1,55,0,0,47.1
150,3,2,28,0.67,13,6.75,1.07,3,0,0,0,27
150,1,1,28,0.4,16,5.47,1.44,3,0,0,60,61.8
100,3,2,56,0.55,19,4.08,0.87,1,60,0,0,14
100,3,2,3,0.55,19,4.81,0.25,4,30,0,0,12.7
100,3,2,90,0.4,19,4.1,0.22,4,20,0,0,56.5
100,1,1,56,0.27,25,2.83,1.83,5,0,10,30,98.1499
100,1,1,7,0.5,20,4.07,2.11,1,55,0,0,11.3
100,1,1,1,0.28,20,3.16,4.12,6,0,0,0,39.7586
100,1,1,56,0.3,10,3.54,1.58,1,20,5,0,85.8
150,1,1,3,0.5,16,5.27,1.44,3,0,0,0,38
150,1,1,360,0.3,16,4.07,1.44,3,0,0,80,78.4
150,1,1,360,0.4,16,4.53,1.44,3,0,0,80,68
100,1,1,28,0.28,20,3.17,1.35,6,0,0,0,69.5517
100,1,1,28,0.3,20,3.6,1.94,3,0,40,0,73.82
150,3,2,28,0.55,25,5.66,1.27,4,0,0,0,27.47
150,1,1,7,0.3,16,4.88,1.44,3,0,0,0,73.8
100,3,2,3,0.55,19,5,0.26,4,0,0,0,18.7
100,1,1,7,0.21,25,2.83,1.83,5,20,10,0,78.2979
100,2,2,56,0.4,20,4.48,1.82,1,40,5,0,47.3
150,1,1,28,0.5,16,3.62,1.44,3,0,0,0,48.7
150,1,1,90,0.4,16,5.5,1.44,3,0,0,40,76.3
100,3,2,7,0.35,19,3.47,0.18,4,20,0,0,44.9
100,1,1,3,0.23,10,2.48,1.44,1,45,0,0,42.5
150,1,1,7,0.57,19,3.87,1.52,3,0,0,50,24.4
150,1,1,7,0.4,16,5.46,1.44,3,0,0,80,37.3
100,3,2,28,0.27,19,2.71,0.14,4,0,0,0,71.8
150,2,0.67,28,0.23,16,5.34,1.25,1,0,0,0,58.44507597
100,1,1,3,0.4,20,4.54,1.75,1,25,0,0,24.7
150,1,1,7,0.4,16,3.8,1.44,3,0,0,80,36.7
150,1,1,365,0.75,19,5.93,1.52,3,0,0,30,39.1
100,3,2,7,0.27,19,2.62,0.14,4,20,0,0,50.5
100,1,1,28,0.5,20,3.4,1.86,1,0,0,0,50.8
100,1,1,56,0.4,12.5,4.12,1.35,5,25,0,0,59.35
100,2,4,7,0.42,25,4.36,1.24,3,0,0,50,27.3
100,1,1,91,0.28,20,1.93,1.22,6,0,0,0,88.7129
100,2,2,56,0.38,19,4.17,1.5,1,55,0,0,43.1
150,1,1,28,0.4,16,3.82,1.44,3,0,0,60,61.8
150,1,1,7,0.3,16,4.81,1.44,3,0,0,60,58.3
100,3,2,14,0.5,19,4,0.77,1,30,0,0,26.2
150,2,0.67,28,0.38,16,3.17,1.25,1,0,0,0,38.66116937
100,2,2,3,0.7,14,7.58,0.72,3,0,0,0,11.8
150,1,1,28,0.47,20,4.52,1.63,3,0,0,0,58.7
100,1,1,28,0.5,20,4.1,2.06,1,45,0,0,35.6
100,3,2,180,0.4,19,4.14,0.22,4,10,0,0,62.8
150,1,1,7,0.5,20,4.57,1.5,3,0,0,30,22.7632
100,1,1,180,0.4,20,3.5,1.63,1,0,0,0,70.6
150,1,1,90,0.3,16,5.8,1.44,3,0,0,0,83.9
100,1,1,3,0.24,25,2.83,1.83,5,0,10,10,77.9433
150,1,1,7,0.74,19,5.93,1.52,3,0,0,42,18.6
150,1,1,3,0.5,16,3.56,1.44,3,0,0,60,13
150,1,1,180,0.57,19,3.87,1.52,3,0,0,50,50.5
200,1,1,28,0.62,80,12,3,3,0,0,0,23.01
100,3,2,7,0.35,19,3.42,0.18,4,30,0,0,39.1
100,3,2,3,0.6,19,4.62,0.85,1,30,0,0,11.6
100,1,1,270,0.46,25,4.74,1.43,3,29,0,0,50.5
100,3,2,90,0.32,19,3.1,0.16,4,30,0,0,57.7
100,2,2,28,0.4,20,3.46,1.68,1,15,0,0,44.8
150,1,1,7,0.43,19,2.06,1.52,3,0,0,56,33.3
100,1,1,56,0.4,12.5,4.21,1.28,5,0,0,0,65.99
100,2,2,91,0.39,19,5.16,1.5,1,55,0,0,44.7
150,3,2,28,0.37,25,3.18,1.27,4,0,0,0,46.05
150,1,1,63,0.48,19,2.69,1.52,3,0,0,61,37.8
150,1,1,90,0.5,16,3.58,1.44,3,0,0,40,53.4
100,1,1,56,0.21,25,2.83,1.83,5,0,10,10,104.137
100,1,1,90,0.5,20,3.36,1.92,1,15,0,0,62.6
150,1,1,365,0.51,19,3.13,1.52,3,0,0,50,59.7
100,3,2,1,0.6,19,4.75,0.81,1,0,0,0,16.1
100,3,2,3,0.35,19,3.47,0.18,4,20,0,0,34.1
150,1,1,28,0.3,16,4.14,1.44,3,0,0,0,80.3
150,1,1,7,0.3,16,5.79,1.44,3,0,0,20,68.3
150,1,1,28,0.5,16,5.21,1.44,3,0,0,60,45.1
150,1,1,7,1.19,19,11.05,1.52,3,0,0,0,9.2
100,1,1,3,0.21,25,2.83,1.83,5,0,10,10,78.89
